"","UserID","First_TransDate_Ca","Total_Stakes_Ca","Max_Stakes_Ca","Mean_Stakes_Ca","Total_Winnings_Ca","Max_Winnings_Ca","Mean_Winnings_Ca","Total_Bets_Ca","Length_Play_Ca","LastDay_Ca","No_Days_Played_Ca","No_Months_Played_Ca","Most_Played_Month_Ca","MostPlayed_Day_Ca","Stakes_Last_Day_Ca","Winnings_Last_Day_Ca","Bets_Last_Day_Ca","Profit_Ca"
"3372",1367156,2005-02-27,3202,2290.75,640.4,3132.2,2388,626.5,312,2,2005-03-01,3,2,"2","Monday",550.75,400.5,58,69.8000000000002
"3373",1367167,2005-02-22,1124,595,374.7,938,497.5,312.7,156,48,2005-04-11,3,3,"2","Monday",14,8,14,186
"3374",1367170,2005-04-15,201.5,151.25,50.4,192.5,146.5,48.1,72,6,2005-04-21,4,1,"4","Friday",17,19,5,9
"3375",1367173,2005-02-18,1050,887,350,955,827,318.3,237,11,2005-03-01,2,2,"3","Tuesday",965,900,228,95
"3376",1367178,2005-02-18,96488,14255,2097.6,94139.5,14346.5,2046.5,4115,223,2005-09-29,46,5,"9","Monday",4583,3785,154,2348.5
"3377",1367180,2005-02-18,199,199,99.5,173,173,86.5,19,124,2005-06-22,2,2,"2","Friday",0,0,0,26
"3378",1367184,2005-02-18,2192,330.5,91.3,2015,310.75,84,16846,28,2005-03-18,24,2,"3","Friday",20.34,18.36,226,177
"3379",1367191,2005-02-18,2258.7,924.75,161.3,2104.2,907,150.3,108,78,2005-05-07,13,2,"5","Friday",251,238,5,154.5
"3380",1367198,2005-02-23,0,0,0,0,0,0,14,2,2005-02-25,3,1,"2","Friday",0,0,2,0
"3381",1367234,2005-02-20,54269,10292,1809,51954,10117,1731.8,3754,37,2005-03-29,28,2,"3","Monday",672,417,51,2315
"3382",1367235,2005-03-12,37.9,37.8992,37.9,27.9,27.95,27.9,4,0,2005-03-12,1,1,"3","Saturday",37.8992,27.95,4,10
"3383",1367266,2005-03-31,2061.2,711.25,171.8,1695,638.25,141.2,2094,23,2005-04-23,12,2,"4","Saturday",25,13,25,366.2
"3384",1367279,2005-02-18,143,75,47.7,108.5,60,36.2,13,17,2005-03-07,2,2,"2","Friday",75,60,1,34.5
"3385",1367280,2005-04-04,1,1,1,0,0,0,1,0,2005-04-04,1,1,"4","Monday",1,0,1,1
"3386",1367288,2005-02-22,4,3,2,0,0,0,7,69,2005-05-02,2,2,"2","Monday",3,0,3,4
"3387",1367295,2005-02-18,15532,15532,15532,14632.5,14632.5,14632.5,302,0,2005-02-18,1,1,"2","Friday",15532,14632.5,302,899.5
"3388",1367324,2005-02-18,2.2,2.25,2.2,0.5,0.5,0.5,6,0,2005-02-18,1,1,"2","Friday",2.25,0.5,6,1.7
