"","UserID","First_TransDate_Po","Last_TransDate_Po","No_Months_Played_Po","Most_Played_Month_Po","Most_Played_Day_Po","No_Days_Played_Po","Total_Amount_Sold","Total_Amount_Bought","Mean_Amount_Sold","Mean_Amount_Bought","Max_Amount_Sold","Max_Amount_Bought","Amount_Sold_Last_Day","Amount_Bought_Last_Day","Profit_Po"
"721",1343539,2005-02-09,2005-04-06,3,"2","Wednesday",8,391.870027726538,171.092838145236,18.6604775107875,19.0103153494707,35.4352232154842,54.3231815493791,52.6159431961559,53.1911358084348,-220.777189581302
"722",1343553,2005-02-08,2005-03-04,2,"2","Tuesday",7,218.248157742528,193.522452638089,31.1783082489326,32.2537421063482,40.3204128810279,90.5940675232514,56.9738914270356,2.11615157215802,-24.7257051044391
"723",1343646,2005-02-08,2005-04-01,3,"2","Monday",9,98.0921498591864,81.8339410928348,7.54554998916819,9.09266012142609,10.0800628998441,22.427033492823,10.2009342031087,3.75753671042389,-16.2582087663517
"724",1343683,2005-09-22,2005-09-30,1,"9","Saturday",7,86.1396,93.0553,4.10188571428571,7.75460833333333,15,27.0637,25,37.6545,6.9157
"725",1343712,2005-02-09,2005-02-09,1,"2","Wednesday",1,13.4400838664588,0.390261276275469,6.7200419332294,0.390261276275469,6.7200419332294,0.390261276275469,13.4400838664588,0.390261276275469,-13.0498225901833
"726",1343731,2005-02-08,2005-07-19,3,"2","Tuesday",9,83.1499198229243,41.0256895057141,7.55908362026585,5.86081278653058,13.4400838664588,12.3494301381646,6.7077044847802,6.7077044847802,-42.1242303172103
"727",1343752,2005-02-08,2005-02-28,1,"2","Wednesday",16,161.956014431524,93.6800491288683,3.85609558170296,5.85500307055427,17.3209487986721,19.1918323482102,0,0.00744607355658198,-68.2759653026559
"728",1343773,2005-04-25,2005-05-10,2,"5","Sunday",6,72.3669824480389,66.7320885739738,7.23669824480389,5.56100738116449,10.744862599726,10.5177847574562,6.71554248260672,21.1665189244366,-5.63489387406504
"729",1343801,2005-02-14,2005-02-14,1,"2","Monday",1,28.6893375297344,0.00276349122401848,28.6893375297344,0.00276349122401848,28.6893375297344,0.00276349122401848,28.6893375297344,0.00276349122401848,-28.6865740385104
"730",1343804,2005-02-12,2005-09-19,7,"7","Tuesday",155,2332.5794,2291.8357,4.87987322175732,6.27900191780822,40,61.8906,17.12,8.6036,-40.7437
"731",1343806,2005-02-14,2005-02-14,1,"2","Monday",1,28.6893375297344,0.286788976732102,28.6893375297344,0.286788976732102,28.6893375297344,0.286788976732102,28.6893375297344,0.286788976732102,-28.4025485530023
"732",1343811,2005-02-08,2005-03-27,2,"3","Thursday",32,1348.40300900734,1073.43742869051,17.7421448553597,23.3355962758807,62.1660171996773,76.9113947863476,26.8812012899757,0.00468959957000805,-274.965580316825
"733",1343815,2005-02-14,2005-02-14,1,"2","Monday",1,57.3786750594688,28.6921010209584,28.6893375297344,14.3460505104792,28.6893375297344,28.6893375297344,57.3786750594688,28.6921010209584,-28.6865740385104
"734",1343817,2005-09-23,2005-09-24,1,"9","Friday",2,60.16,0.4288,30.08,0.2144,30.16,0.2924,30.16,0.2924,-59.7312
"735",1343826,2005-02-14,2005-02-14,1,"2","Monday",1,28.6893375297344,0.00276349122401848,28.6893375297344,0.00276349122401848,28.6893375297344,0.00276349122401848,28.6893375297344,0.00276349122401848,-28.6865740385104
"736",1343833,2005-07-08,2005-07-08,1,"7","Friday",1,0.00612228011152417,0.00612228011152417,0.00612228011152417,0.00612228011152417,0.00612228011152417,0.00612228011152417,0.00612228011152417,0.00612228011152417,0
"737",1343841,2005-02-08,2005-05-02,4,"3","Friday",13,276.95414587336,142.307573486175,13.847707293668,8.37103373448089,39.0388170055454,54.4641374790651,68.6136783733828,13.3197781885398,-134.646572387185
"738",1343842,2005-02-14,2005-02-14,1,"2","Monday",1,28.6893375297344,0.286788976732102,28.6893375297344,0.286788976732102,28.6893375297344,0.286788976732102,28.6893375297344,0.286788976732102,-28.4025485530023
"739",1343854,2005-02-08,2005-04-19,2,"2","Tuesday",2,154.149473401231,0.422605514047272,38.5373683503078,0.211302757023636,76.9695200395841,0.212172191984166,0.210433322063107,0.210433322063107,-153.726867887184
"740",1343856,2005-02-09,2005-04-14,2,"2","Friday",9,497.449944742012,426.199272609876,20.7270810309171,26.6374545381172,42.1965881005487,69.2151666767137,1.09815741305674,1.09815741305674,-71.2506721321361
"741",1343942,2005-02-08,2005-04-07,2,"2","Wednesday",13,644.0361,555.3161,15.7081975609756,24.1441782608696,29.9999,75.2284,16.4899,1.2702,-88.72
"742",1343976,2005-04-11,2005-09-29,6,"4","Thursday",40,539.745,265.6239,5.29161764705882,3.49505131578947,20.37,43.1237,26.5799,1.3458,-274.1211
"743",1344002,2005-02-09,2005-05-15,3,"2","Thursday",5,139.261634535409,109.50002835186,13.9261634535409,15.6428611931229,36.1684971969379,57.8312013985173,14.7483438825048,6.70200946352856,-29.7616061835483
"744",1344005,2005-03-10,2005-03-10,1,"3","Thursday",1,50,50,50,50,50,50,50,50,0
"745",1344048,2005-02-09,2005-09-26,8,"7","Monday",75,15159.1614571539,13663.3183243413,115.718789749266,140.858951797333,314.879617067833,725.336849015316,161.050040182159,2.02518081971604,-1495.84313281256
"746",1344132,2005-03-27,2005-08-22,5,"4","Sunday",29,3288.2636721462,2492.66039758873,24.1784093540162,34.1460328436812,107.497957538296,123.677210427304,41.1500167549093,0.230132028684405,-795.603274557473
"747",1344160,2005-04-18,2005-07-08,4,"5","Friday",16,825.813213670022,306.336978242971,22.3192760451357,23.564382941767,67.2006881350465,116.748199021558,13.9520129861419,0.938034102037806,-519.47623542705
"748",1344165,2005-02-23,2005-03-29,2,"3","Tuesday",10,209.3685,214.7766,8.05263461538462,9.76257272727273,14,22.4726,9.9899,9.0525,5.40809999999999
"749",1344167,2005-02-09,2005-07-27,6,"3","Friday",68,21669.3902,17294.9746,92.6042316239316,77.2097080357143,345.19,417.2421,431.3299,306.4003,-4374.4156
"750",1344252,2005-03-08,2005-06-19,4,"4","Thursday",22,1237.1362372029,568.818731466089,22.4933861309618,15.8005203185025,76.6087710338154,124.348785011559,80.4445459921509,1.11842105263158,-668.317505736808
