"","UserID","First_TransDate_Ga","Total_Stakes_Ga","Max_Stakes_Ga","Mean_Stakes_Ga","Total_Winnings_Ga","Max_Winnings_Ga","Mean_Winnings_Ga","Total_Bets_Ga","Length_Play_Ga","LastDay_Ga","No_Days_Played_Ga","No_Months_Played_Ga","Most_Played_Month_Ga","MostPlayed_Day_Ga","Stakes_Last_Day_Ga","Winnings_Last_Day_Ga","Bets_Last_Day_Ga","Profit_Ga"
"3637",1400530,2005-02-28,205.8,83,25.7,164.1,66,20.5,183,13,2005-03-13,8,2,"3","Friday",1,0,2,41.7
"3638",1400563,2005-02-27,2,2,2,1.6,1.65,1.6,1,0,2005-02-27,1,1,"2","Sunday",2,1.65,1,0.4
"3639",1400584,2005-06-10,39.8,39.84,39.8,39.8,39.8,39.8,18,0,2005-06-10,1,1,"6","Friday",39.84,39.8,18,0
"3640",1400606,2005-03-14,449.1,100.5,34.5,436.1,86.65,33.5,417,93,2005-06-15,11,2,"3","Tuesday",2,0,2,13
"3641",1400619,2005-02-27,553.5,286,92.3,454.2,256.125,75.7,259,192,2005-09-07,5,2,"9","Monday",43.54,14.895,30,99.3
"3642",1400629,2005-03-03,121.4,75.7635,30.4,144.5,83.4147,36.1,130,103,2005-06-14,4,2,"3","Saturday",2.6127,2.6127,4,-23.1
"3643",1400638,2005-04-25,29.5,13.5,9.8,13,6,4.3,30,15,2005-05-10,2,2,"4","Monday",5,3,5,16.5
"3644",1400642,2005-07-14,153.5,68.5,38.4,120.5,63,30.1,232,35,2005-08-18,4,2,"7","Thursday",25.5,17.25,48,33
"3645",1400654,2005-04-01,2,2,2,0,0,0,2,0,2005-04-01,1,1,"4","Friday",2,0,2,2
"3646",1400678,2005-02-27,114.9,15.5,3.7,95.6,27.5,3.1,63,186,2005-09-01,28,8,"8","Monday",5,0,5,19.3
"3647",1400702,2005-03-07,56.1,33.5,7,48.7,28.95,6.1,67,29,2005-04-05,5,2,"3","Thursday",6.5,4.5,11,7.4
"3648",1400705,2005-05-12,62.1,24.3,12.4,51.2,20.0475,10.2,4,86,2005-08-06,5,3,"6","Saturday",21.6,17.82,1,10.9
"3649",1400772,2005-03-06,35,17,11.7,19.3,12,6.4,32,204,2005-09-26,3,2,"3","Monday",4,3.3,1,15.7
"3650",1400782,2005-03-13,2,2,2,0,0,0,2,0,2005-03-13,1,1,"3","Sunday",2,0,2,2
"3651",1400787,2005-02-27,713.4,582.4134,101.9,687.4,565.0924,98.2,229,15,2005-03-14,7,2,"3","Friday",0.59,0,1,26
"3652",1400795,2005-04-21,23.2,5.5,1.2,16.1,2.5,0.8,49,139,2005-09-07,18,4,"5","Wednesday",1,0.825,2,7.1
"3653",1400831,2005-02-27,13,13,13,8,7.99,8,10,0,2005-02-27,1,1,"2","Sunday",13,7.99,10,5
"3654",1400844,2005-02-27,203.5,77,22.6,115.5,37.05,12.8,45,62,2005-04-30,7,3,"3","Monday",34.5,16.575,8,88
