,label,adress,energy1,energy1label,energy2,energy2label,pricesquare,informationlist
30,Publiée il y a plus de 1 mois | Modifiée le 28 nov. 2019 | Réf. de l’annonce : 120901E0JH9U,Tourcoing 59200 (Croix Rouge),161,D,37,E,1 862 €/m²,"['Prix\u202f: 316 500 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '170 m²', '80 m² de terrain', '11 pièces', '10 chambres', 'Jardin', 'Chauffage : individuel', '4 salles de bain', '2 places de parking', 'Réf. de l’annonce : 120901E0JH9U', 'Publiée il y a plus de 1 mois', 'Modifiée le 28 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
31,Publiée le 29 nov. 2019 | Modifiée le 6 déc. 2019 | Réf. de l’annonce : 785,Tourcoing 59200 (Centre-ville),146,C,28,D,1 465 €/m²,"['Prix\u202f: 249 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '170 m²', '6 pièces', '4 chambres', 'Chauffage : gaz individuel', '2 salles de bain', '2 WC', '2 étages', 'Réf. de l’annonce : 785', 'Publiée le 29 nov. 2019', 'Modifiée le 6 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
32,Publiée il y a plus de 1 mois | Modifiée le 28 nov. 2019 | Réf. de l’annonce : V150003820,Tourcoing 59200 (Gambetta),127,C,19,C,1 941 €/m²,"['Prix\u202f: 345 000 €, honoraires : 4,55% TTC inclus à la charge de l’acquéreur (330 000 € hors honoraires)', 'Estimez votre mensualité', '170 m²', '5 pièces', '4 chambres', 'Terrasse', 'Exposé Sud Est Ouest', 'Chauffage : radiateur gaz individuel', '4 salles de bain', '3 étages', 'Construit en 1903', 'Réf. de l’annonce : V150003820', 'Publiée il y a plus de 1 mois', 'Modifiée le 28 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
33,Publiée il y a plus de 1 mois | Modifiée le 5 déc. 2019 | Réf. de l’annonce : VA23506-IMMOTRAM2,Roubaix 59100,Non soumis,NA,En cours de réalisation,NA,1 339 €/m²,"['Prix\u202f: 236 000 €, honoraires : 4,89% TTC inclus à la charge de l’acquéreur (225 000 € hors honoraires)', 'Estimez votre mensualité', '168 m²', '4 pièces', '3 chambres', 'Chauffage : gaz individuel', '1 salle de bain', '2 WC', '1er étage (sur 2)', 'Réf. de l’annonce : VA23506-IMMOTRAM2', 'Publiée il y a plus de 1 mois', 'Modifiée le 5 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
34,Publiée il y a plus de 1 mois | Modifiée le 28 nov. 2019 | Réf. de l’annonce : 120901E1FG4Q,Roubaix 59100 (Epeule - Trichon),En cours de réalisation,NA,En cours de réalisation,NA,938 €/m²,"['Prix\u202f: 150 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '160 m²', '30 m² de terrain', '7 pièces', '6 chambres', 'Jardin', 'Chauffage : individuel', 'Mandat en exclusivité', 'Réf. de l’annonce : 120901E1FG4Q', 'Publiée il y a plus de 1 mois', 'Modifiée le 28 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
35,Publiée le 7 déc. 2019 | Réf. de l’annonce : 27788804,Tourcoing 59200 (Virolois),173,D,41,E,1 469 €/m²,"['Prix\u202f: 235 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '160 m²', '4 pièces', '3 chambres', 'Chauffage : INDIVIDUEL', '2 parkings intérieurs', '1er étage (sur 3)', 'Construit en 2009', 'Ascenseur', 'Digicode', 'Interphone', 'Mandat en exclusivité', 'Réf. de l’annonce : 27788804', 'Publiée le 7 déc. 2019', 'Signaler une anomalie sur cette annonce']"
36,Publiée il y a plus de 1 mois | Modifiée le 6 déc. 2019 | Réf. de l’annonce : 1061,Tourcoing 59200 (Centre-ville),Vierge,NA,En cours de réalisation,NA,2 281 €/m²,"['Prix\u202f: 365 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '160 m²', '6 pièces', '5 chambres', 'Piscine', 'Chauffage : fuel individuel', '1 salle de bain', '1 salle d’eau', '5 places de parking', '2 étages', 'Mandat en exclusivité', 'Réf. de l’annonce : 1061', 'Publiée il y a plus de 1 mois', 'Modifiée le 6 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
37,Publiée il y a plus de 1 mois | Modifiée le 17 déc. 2019 | Réf. de l’annonce : DGVMA40000020,Roubaix 59100 (Epeule - Trichon),Non soumis,NA,Non soumis,NA,1 019 €/m²,"['Prix\u202f: 159 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '156 m²', '3 pièces', '3 chambres', 'Travaux à prévoir', '16 terrasses', '10 balcons', 'Cave', '1 box', '2 étages', 'Mandat en exclusivité', 'Réf. de l’annonce : DGVMA40000020', 'Publiée il y a plus de 1 mois', 'Modifiée le 17 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
38,Publiée le 10 déc. 2019 | Modifiée le 14 déc. 2019 | Réf. de l’annonce : 73154,Tourcoing 59200,258,E,60,F,2 147 €/m²,"['Prix\u202f: 350 000 €, honoraires : 4,48% TTC inclus à la charge de l’acquéreur (335 000 € hors honoraires)', 'Estimez votre mensualité', '156 m²', '8 pièces', '3 chambres', 'Exposé Ouest', 'Chauffage : gaz individuel', 'Cave', 'Cheminée', '1 salle de bain', '4e étage (sur 6)', 'Ascenseur', 'Interphone', 'Mandat en exclusivité', 'Réf. de l’annonce : 73154', 'Publiée le 10 déc. 2019', 'Modifiée le 14 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
39,Publiée il y a plus de 1 mois | Modifiée le 21 nov. 2019 | Réf. de l’annonce : 4487,Tourcoing 59200 (Virolois),63,B,14,C,1 286 €/m²,"['Prix\u202f: 199 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '154,74 m²', '4 pièces', '3 chambres', 'Chauffage : gaz individuel', '2 salles de bain', '2 WC', '1 place de parking', '3 étages', 'Construit en 1930', 'Ascenseur', 'Digicode', 'Interphone', 'Mandat en exclusivité', 'Réf. de l’annonce : 4487', 'Publiée il y a plus de 1 mois', 'Modifiée le 21 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
