,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface,totalsurface
257,NA,NA,NA,NA,79281,11 dec  2019 ,,Tourcoing,Epidème ,59200 ,,0,,,, 2 à 4 ,,,,,,,,
258,160,D,6,B,4441,,,Tourcoing,Centre-ville ,59200 ,1499.0,114900, honoraires à la charge du vendeur, électrique individuel, 2, 3 ,, 1 ,,,1.0,,65,
259,221,D,51,E,so1700,29 nov  2019 ,,Roubaix,Fraternité - Chemin Neuf - Justice ,59100 ,2453.0,184000, honoraires à la charge du vendeur, gaz individuel, 3, 4 ,1.0, 1 ,,,,, 75,100.0
260,En cours de réalisation,NA,En cours de réalisation,NA,24791349,23 nov  2019 ,,Tourcoing,,59200,1093.0,82000, honoraires à la charge du vendeur, GAZ, 3, 4 ,1.0, 1 ,,,,,,25.0
261,En cours de réalisation,NA,En cours de réalisation,NA,120901E1HW7L,,29 nov  2019 ,Tourcoing,Croix Rouge ,59200 ,1440.0,108000, honoraires à la charge du vendeur, individuel, 3, 4 ,, 1 ,,,,, 75,
262,NA,NA,NA,NA,ROUBA1,16 nov  2019 ,,Roubaix,Gare Jean Lebas ,59100 ,,109896,,,, 1 à 3 ,,,,,,, 40 à 75,
263,141,C,33,D,26827896,22 oct  2019 ,,Tourcoing,,59200,1507.0,113000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 1, 2 ,, 1 ,,1.0,,1.0, 75,
264,126,C,29,D,4197UBI,29 nov  2019 ,,Tourcoing,Blanche Porte - Flocon ,59200 ,1532.0,114880, honoraires à la charge du vendeur,, 3, 4 ,, 1 ,,1.0,,, 75,
265,165,D,38,E,so1607,29 nov  2019 ,,Roubaix,Fraternité - Chemin Neuf - Justice ,59100 ,1973.0,148000, honoraires à la charge du vendeur, radiateur gaz individuel, 3, 5 ,, 1 ,,,,, 75,
266,,A,En cours de réalisation,NA,42726,12 dec  2019 ,6 dec  2019 ,Roubaix,,59100,2560.0,192010,,, 2, 3 ,, 1 ,,,,, 75,
267,NA,NA,NA,NA,591,10 dec  2019 ,,Tourcoing,Gambetta ,59200 ,2953.0,219200, honoraires à la charge du vendeur, Individuel Radiateur Gaz, 2, 3 ,, 1 ,1.0,,1.0,1.0,22,
268,Non soumis,NA,En cours de réalisation,NA,72025,,29 nov  2019 ,Tourcoing,,59200,1081.0,88000,  10, gaz, 3, 6 ,,,,1.0,,, 74,
269,,A,En cours de réalisation,NA,42578,,4 dec  2019 ,Tourcoing,Bourgogne ,59200 ,3392.0,251000,,, 3, 4 ,, 1 ,,,,, 74,
270,56,B,13,C,4493,22 nov  2019 ,22 nov  2019 ,Tourcoing,Belencontre - Fin de la Guerre ,59200 ,2036.0,149000, honoraires à la charge du vendeur, gaz collectif, 2, 3 ,, 1 ,1.0,,1.0,1.0,17,
271,NA,NA,NA,NA,0010__10080,18 dec  2019 ,,Tourcoing,Epidème ,59200 ,,98000,,,, 2 à 4 ,,,,,,, 38 à 73,
272,Vierge,NA,Vierge,NA,TAPP415647,29 nov  2019 ,,Tourcoing,Gambetta ,59200 ,1568.0,114000, honoraires à la charge du vendeur, Radiateur Electrique Individuel, 2, 3 ,, 1 ,,,1.0,1.0,72,
273,En cours de réalisation,NA,En cours de réalisation,NA,120901E1D1QK,28 nov  2019 ,,Tourcoing,Blanche Porte - Flocon ,59200 ,1208.0,87000, honoraires à la charge du vendeur, collectif, 3, 4 ,, 1 ,,,1.0,, 72,
274,106,C,25,D,1095,6 dec  2019 ,22 oct  2019 ,Tourcoing,Centre-ville ,59200 ,1847.0,133000, honoraires à la charge du vendeur, radiateur gaz collectif, 2, 3 ,, 1 ,,1.0,1.0,1.0, 72,
275,245,E,39,E,VA23632-IMMOTRAM2,11 dec  2019 ,4 dec  2019 ,Roubaix,,59100,2014.0,157000,  8, gaz collectif, 2, 3 ,, 2 ,,1.0,1.0,1.0, 72,
276,Vierge,NA,En cours de réalisation,NA,1066,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1211.0,86000, honoraires à la charge du vendeur, radiateur gaz collectif, 2, 3 ,, 1 ,,1.0,1.0,1.0, 71,
277,177,D,41,E,120901E1H721,13 dec  2019 ,5 nov  2019 ,Tourcoing,Phalempins ,59200 ,1393.0,97500, honoraires à la charge du vendeur, individuel, 3, 4 ,1.0, 1 ,,,,, 70,11.0
278,,D,En cours de réalisation,NA,paulclaudel_T4_-_DI,4 dec  2019 ,3 dec  2019 ,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,1006.0,70430,, gaz collectif, 3, 4 ,,,,1.0,,, 70,
279,Vierge,NA,En cours de réalisation,NA,1106,6 dec  2019 ,2 nov  2019 ,Tourcoing,Blanc Seau ,59200 ,1457.0,102000, honoraires à la charge du vendeur, gaz individuel, 2, 3 ,, 1 ,,,,, 70,
280,En cours de réalisation,NA,En cours de réalisation,NA,26141923,22 oct  2019 ,,Tourcoing,,59200,1986.0,139000, honoraires à la charge du vendeur, ELECTRICITE, 2, 3 ,1.0, 1 ,,,1.0,,,
281,150,C,150,G,22516806,,,Tourcoing,,59200,2471.0,173000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 2, 3 ,1.0, 1 ,,,,1.0,,
282,NA,NA,NA,NA,0063__62490,10 dec  2019 ,,Roubaix,Fresnoy - Mackellerie ,59100 ,,167300,,,, 2 à 3 ,,,,,,, 41 à 69,
283,290,E,8,B,120901E1HENA,28 nov  2019 ,19 nov  2019 ,Tourcoing,Blanche Porte - Flocon ,59200 ,1659.0,113250, honoraires à la charge du vendeur, individuel, 3, 4 ,1.0, 1 ,,,,,27,6.0
284,191,D,57,F,VA23564-IMMOTRAM2,29 oct  2019 ,,Roubaix,,59100,1366.0,99900,  7, gaz collectif, 2, 3 ,, 1 ,,,,1.0, 68,
285,180,D,180,G,26786113,22 oct  2019 ,,Tourcoing,,59200,2191.0,149000, honoraires à la charge du vendeur, ELECTRICITE, 2, 3 ,1.0, 1 ,,1.0,1.0,,,
286,Vierge,NA,Vierge,NA,229,,,Tourcoing,Gambetta ,59200 ,2132.0,154000,  6, électrique individuel, 1, 2 ,, 1 ,,,1.0,1.0, 68,
287,Non soumis,NA,En cours de réalisation,NA,trg_citygreen_t3_neuf_FV,4 dec  2019 ,3 dec  2019 ,Tourcoing,Malcense - Egalité ,59200 ,2500.0,170000,,, 2, 3 ,,,,,,, 68,
288,198,D,46,E,120901E12P14,,,Tourcoing,Centre-ville ,59200 ,1358.0,92250, honoraires à la charge du vendeur, collectif, 2, 3 ,, 1 ,,,,1.0,91,
289,Vierge,NA,Vierge,NA,TAPP416806A,29 nov  2019 ,27 nov  2019 ,Tourcoing,Gambetta ,59200 ,1385.0,94000, honoraires à la charge du vendeur, Radiateur Electrique Individuel, 2, 3 ,, 1 ,,,1.0,1.0,88,
290,,E,En cours de réalisation,NA,Maurice_Sceve_T3_67,,3 dec  2019 ,Tourcoing,Centre-ville ,59200 ,1431.0,95900,,, 2, 3 ,,,,,,, 67,
291,Non soumis,NA,En cours de réalisation,NA,citygreen_T3_NEUF_JL,,3 dec  2019 ,Tourcoing,,59200,2373.0,159000,,, 2, 3 ,,,,,1.0,, 67,
292,NA,NA,NA,NA,,18 dec  2019,,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,,205000,,,, 3 ,,,,,,, 62 à 66,
293,NA,NA,NA,NA,10405_1291,17 dec  2019 ,,Tourcoing,Epidème ,59200 ,,113745,,,, 2 à 3 ,,,,,,, 39 à 66,
294,,D,En cours de réalisation,NA,Tour_des_pres_T3_65m_DI,3 dec  2019 ,,Roubaix,,59100,1003.0,65190,,, 2, 3 ,,,1.0,1.0,,, 65,
295,Vierge,NA,En cours de réalisation,NA,1081,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1523.0,99000, honoraires à la charge du vendeur,, 2, 4 ,, 1 ,,,,, 65,
296,162,D,44,E,1VAP10001039,17 dec  2019 ,,Tourcoing,Blanche Porte - Flocon ,59200 ,1585.0,103000, honoraires à la charge du vendeur, radiateur gaz collectif, 1, 3 ,, 1 ,,1.0,1.0,1.0, 65,
297,NA,NA,NA,NA,963,10 dec  2019 ,16 nov  2019 ,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,3535.0,229000, honoraires à la charge du vendeur, Individuel Radiateur Gaz, 2, 3 ,, 1 ,1.0,,1.0,1.0,78,
298,,D,En cours de réalisation,NA,Morilles_T3_ancien_DI,,3 dec  2019 ,Roubaix,Sainte-Elisabeth ,59100 ,1051.0,66200,, gaz collectif, 2, 3 ,,,,,,, 63,
299,,D,En cours de réalisation,NA,ionesco_T3_ANCIEN_KB,5 dec  2019 ,3 dec  2019 ,Roubaix,Fraternité - Chemin Neuf - Justice ,59100 ,1193.0,75150,, gaz collectif, 2, 3 ,,,,1.0,,, 63,
300,,D,En cours de réalisation,NA,Bld_Halluin_T3_63_DI,,3 dec  2019 ,Tourcoing,Brun Pain - Francs - Clinquet ,59200 ,1490.0,93900,,, 2, 3 ,,,,,,, 63,
